customer,type,number,date,due_date,payment_terms,purchase_order,currency,total,amount_paid,balance,ship_to.name,notes,terms,item,description,quantity,unit_cost,discount,tax,shipping,item_date,item_reference,payment,amount_refunded
"YOHANNES HIGH SCHOOL",invoice,YHS/002/8/026,"Aug 20, 2026",,,152-091-435,TZS,1650000,0,1650000,,"BANK DETAILS:
BANK NAME: STANBIC BANK
BRANCH : CENTRE BRANCH
ACCOUNT NAME : AIO BUSNESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
SWIFT CODE : SBICTZTX

LIPA NO
Mixx By Yas: 44125355
AIO TECHNOLOGIES","Please pay before due date.","TSHIRTS (School Uniform Logo Embroidery)","-Size 9cm x 7cm
-Quality: High
-Stiches : Maximum",550,3000,0,0,0,,,,
"Tamgo Tanzania",invoice,TTL/001.08/2026,"Aug 13, 2026",,,152-091-435,TZS,283200,0,283200,,"BANK NAME: STANBIC BANK
ACCOUNT NAME : AIO BUSINESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
BRANCH : CENTRE BRANCH
SWIFT CODE : SBICTZTX","Please pay before due date","GATEPASS / PRE-START VEHICLE INSPECTION BOOKLETS","-Size: A5
-Sides: Double sided
-Pages: 80pages
-Binding: Booklet Stitch Binding",15,16000,0,43200,0,,,,
"THAMINI UHAI",invoice,TAL/001.8/2026,"Aug 14, 2026",,,152-091-435,TZS,23749506,0,23749506,,"BANK DETAILS:
BANK NAME: STANBIC BANK
BRANCH : CENTRE BRANCH
ACCOUNT NAME : AIO BUSNESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
SWIFT CODE : SBICTZTX","Please issue LPO before proceeding with the supply.","LCG Flipchart",,66,50000,165000,564300,0,,,,
"THAMINI UHAI",invoice,TAL/001.8/2026,"Aug 14, 2026",,,152-091-435,TZS,23749506,0,23749506,,"BANK DETAILS:
BANK NAME: STANBIC BANK
BRANCH : CENTRE BRANCH
ACCOUNT NAME : AIO BUSNESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
SWIFT CODE : SBICTZTX","Please issue LPO before proceeding with the supply.","LCG Action Plan",,66,12000,39600,135432,0,,,,
"THAMINI UHAI",invoice,TAL/001.8/2026,"Aug 14, 2026",,,152-091-435,TZS,23749506,0,23749506,,"BANK DETAILS:
BANK NAME: STANBIC BANK
BRANCH : CENTRE BRANCH
ACCOUNT NAME : AIO BUSNESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
SWIFT CODE : SBICTZTX","Please issue LPO before proceeding with the supply.","National EmONC OJT PPH",,66,85000,280500,959310,0,,,,
"THAMINI UHAI",invoice,TAL/001.8/2026,"Aug 14, 2026",,,152-091-435,TZS,23749506,0,23749506,,"BANK DETAILS:
BANK NAME: STANBIC BANK
BRANCH : CENTRE BRANCH
ACCOUNT NAME : AIO BUSNESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
SWIFT CODE : SBICTZTX","Please issue LPO before proceeding with the supply.","PPH Action Plan",,264,12000,158400,541728,0,,,,
"THAMINI UHAI",invoice,TAL/001.8/2026,"Aug 14, 2026",,,152-091-435,TZS,23749506,0,23749506,,"BANK DETAILS:
BANK NAME: STANBIC BANK
BRANCH : CENTRE BRANCH
ACCOUNT NAME : AIO BUSNESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
SWIFT CODE : SBICTZTX","Please issue LPO before proceeding with the supply.","iKMC & Newborn Resuscitation Action Plan",,264,12000,158400,541728,0,,,,
"THAMINI UHAI",invoice,TAL/001.8/2026,"Aug 14, 2026",,,152-091-435,TZS,23749506,0,23749506,,"BANK DETAILS:
BANK NAME: STANBIC BANK
BRANCH : CENTRE BRANCH
ACCOUNT NAME : AIO BUSNESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
SWIFT CODE : SBICTZTX","Please issue LPO before proceeding with the supply.","iKMC & Newborn Resuscitation Flipbook",,66,70000,231000,790020,0,,,,
"THAMINI UHAI",invoice,TAL/001.8/2026,"Aug 14, 2026",,,152-091-435,TZS,23749506,0,23749506,,"BANK DETAILS:
BANK NAME: STANBIC BANK
BRANCH : CENTRE BRANCH
ACCOUNT NAME : AIO BUSNESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
SWIFT CODE : SBICTZTX","Please issue LPO before proceeding with the supply.","iKMC Initiation Sticker",,66,8000,26400,90288,0,,,,
"Nigeria High Commission in Dar es Salaam",invoice,NHCD/001.026,"Jul 25, 2026",,,152-091-435,TZS,32039994,0,32039994,,"BANK DETAILS:
BANK NAME: STANBIC BANK
BRANCH : CENTRE BRANCH
ACCOUNT NAME : AIO BUSNESS LIMITED
ACCOUNT NUMBER : TZS 9120002464371
SWIFT CODE : SBICTZTX",,"LENOVO THINK CENTER NEO 50a",">512GB SSD / 16 GB RAM
>Intel Core i7 13th Generation, 
>24 Inch Display",6,3520000,0,0,0,,,,
